lambda n k
3e-07 1.57495961825483 0.3787919657691804
3.01e-07 1.5707953783799007 0.3860368711364155
3.02e-07 1.5667916888375646 0.39347317309318885
3.03e-07 1.5629472074632609 0.40098106621981805
3.04e-07 1.5592602999640306 0.4084268600309819
3.05e-07 1.5557290475443855 0.4156659917634882
3.06e-07 1.5523512567984326 0.42254673203784054
3.07e-07 1.5491244716575947 0.4289144665541744
3.08e-07 1.546045987169781 0.4346163960788473
3.09e-07 1.543112864876723 0.43950646283825334
3.1e-07 1.5403219495512175 0.44345028693721117
3.11e-07 1.5376698870547896 0.4463298838821085
3.12e-07 1.5351531430785772 0.4480479352484552
3.13e-07 1.5327680225355684 0.44853139956246413
3.14e-07 1.5305106893804206 0.4477342790860007
3.15e-07 1.5283771866435236 0.44563939886705617
3.16e-07 1.5263634564783581 0.4422591046466647
3.17e-07 1.524465360035237 0.4376348427257305
3.18e-07 1.5226786969897745 0.4318356439040847
3.19e-07 1.5209992245706252 0.42495559111581593
3.2e-07 1.5194226759478384 0.41711040252970977
3.21e-07 1.51794477786028 0.40843330523264676
3.22e-07 1.5165612673777518 0.3990704064540048
3.23e-07 1.5152679077103999 0.3891757878292207
3.24e-07 1.5140605029945795 0.37890655269034657
3.25e-07 1.512934912000348 0.36841804712433174
3.26e-07 1.511887060720979 0.357859453862036
3.27e-07 1.5109129538192894 0.3473699260960255
3.28e-07 1.5100086849189647 0.3370753888335591
3.29e-07 1.5091704457414024 0.32708609149018514
3.3e-07 1.5083945340998495 0.31749495031967784
3.31e-07 1.5076773607726945 0.3083766759814493
3.32e-07 1.5070154552866926 0.2997876426906125
3.33e-07 1.5064054706486967 0.29176642303261374
3.34e-07 1.505844187071071 0.2843348880342123
3.35e-07 1.5053285147415205 0.2774997561362009
3.36e-07 1.50485549569248 0.2712544672996055
3.37e-07 1.504422304828693 0.2655812589859579
3.38e-07 1.5040262501740624 0.26045332809700006
3.39e-07 1.5036647724004732 0.25583697572378467
3.4e-07 1.5033354437020698 0.25169364814845563
3.41e-07 1.503035966078511 0.24798180634488867
3.42e-07 1.5027641690901063 0.24465857571707456
3.43e-07 1.5025180071465207 0.24168114667564572
3.44e-07 1.5022955563890232 0.23900791382796135
3.45e-07 1.5020950112240714 0.23659935628989134
3.46e-07 1.501914680563505 0.23441867346507078
3.47e-07 1.5017529838237833 0.23243219940819854
3.48e-07 1.5016084467336281 0.23060962466168575
3.49e-07 1.501479696996196 0.22892405748659217
3.5e-07 1.501365459848527 0.2273519570875
3.51e-07 1.5012645535575961 0.225872970220263
3.52e-07 1.5011758848888201 0.22446969996016145
3.53e-07 1.5010984445794493 0.22312743186854883
3.54e-07 1.5010313028458688 0.22183383875445775
3.55e-07 1.5009736049505493 0.22057868104280284
3.56e-07 1.5009245668511926 0.21935351571483433
3.57e-07 1.5008834709515515 0.21815142308287022
3.58e-07 1.5008496619705247 0.2169667574299947
3.59e-07 1.5008225429433648 0.215794924852148
3.6e-07 1.5008015713662988 0.214632189498495
3.61e-07 1.5007862554934706 0.21347550779054922
3.62e-07 1.500776150792932 0.21232238905884676
3.63e-07 1.5007708565664082 0.21117078029994718
3.64e-07 1.5007700127357513 0.21001897235161984
3.65e-07 1.5007732967973653 0.20886552463632246
3.66e-07 1.5007804209444457 0.20770920566411682
3.67e-07 1.5007911293555847 0.20654894665630708
3.68e-07 1.50080519564721 0.20538380590079888
3.69e-07 1.5008224204863365 0.20421294174037788
3.7e-07 1.500842629359339 0.20303559239657232
3.71e-07 1.500865670491762 0.20185106112396387
3.72e-07 1.5008914129136441 0.20065870545952172
3.73e-07 1.50091974466442 0.19945792957129455
3.74e-07 1.5009505711311246 0.198248178917515
3.75e-07 1.5009838135134235 0.19702893660084553
3.76e-07 1.5010194074088288 0.19579972094512682
3.77e-07 1.5010573015114255 0.19456008393679042
3.78e-07 1.5010974564174095 0.19330961026379487
3.79e-07 1.5011398435308303 0.19204791675540386
3.8e-07 1.5011844440630198 0.1907746520799862
3.81e-07 1.5012312481193526 0.18948949659859107
3.82e-07 1.5012802538671817 0.18819216230217822
3.83e-07 1.5013314667789865 0.18688239278245822
3.84e-07 1.5013848989450385 0.18555996320226223
3.85e-07 1.5014405684501275 0.1842246802427674
3.86e-07 1.5014984988091609 0.18287638201295667
3.87e-07 1.5015587184567378 0.18151493791231182
3.88e-07 1.5016212602860688 0.18014024844161888
3.89e-07 1.501686161232892 0.17875224495941486
3.9e-07 1.501753461900327 0.17735088938339733
3.91e-07 1.5018232062208725 0.175936173837316
3.92e-07 1.5018954411520278 0.1745081202446602
3.93e-07 1.5019702164022706 0.17306677987097435
3.94e-07 1.502047584184391 0.17161223281696958
3.95e-07 1.5021275989934013 0.1701445874648111
3.96e-07 1.5022103174064907 0.16866397988009124
3.97e-07 1.5022957979026983 0.16717057317207304
3.98e-07 1.5023841007001926 0.16566455681482828
3.99e-07 1.5024752876092389 0.1641461459319083
4e-07 1.502569421899116 0.16261558054718137
4.01e-07 1.502666568177417 0.16107312480445646
4.02e-07 1.502766792280334 0.15951906615848668
4.03e-07 1.5028701611726643 0.15795371453991539
4.04e-07 1.502976742856426 0.15637740149669008
4.05e-07 1.503086606287092 0.1547904793144274
4.06e-07 1.5031998212965727 0.15319332011816497
4.07e-07 1.503316458522192 0.15158631495788885
4.08e-07 1.5034365893409876 0.14996987288016983
4.09e-07 1.5035602858087878 0.14834441998818784
4.1e-07 1.5036876206035754 0.14671039849236517
4.11e-07 1.5038186669727465 0.14506826575376755
4.12e-07 1.5039534986839453 0.14341849332237144
4.13e-07 1.5040921899792157 0.1417615659722305
4.14e-07 1.5042348155322909 0.14009798073550686
4.15e-07 1.5043814504088875 0.1384282459372683
4.16e-07 1.504532170029937 0.13675288023288087
4.17e-07 1.5046870501377447 0.1350724116497586
4.18e-07 1.5048461667651147 0.1333873766351598
4.19e-07 1.5050095962075305 0.13169831911165047
4.2e-07 1.5051774149985486 0.13000578954178055
4.21e-07 1.5053496998885973 0.12831034400344993
4.22e-07 1.505526527827448 0.12661254327736546
4.23e-07 1.505707975950682 0.12491295194792133
4.24e-07 1.5058941215705455 0.12321213751876035
4.25e-07 1.5060850421716685 0.12151066954420253
4.26e-07 1.5062808154122094 0.11980911877765701
4.27e-07 1.5064815191311043 0.11810805633806062
4.28e-07 1.506687231362221 0.11640805289531699
4.29e-07 1.5068980303563746 0.1147096778756407
4.3e-07 1.5071139946123626 0.11301349868764138
4.31e-07 1.507335202918385 0.11132007996991596
4.32e-07 1.5075617344055248 0.10962998286085003
4.33e-07 1.5077936686152962 0.10794376429126365
4.34e-07 1.5080310855836934 0.10626197630047307
4.35e-07 1.508274065944693 0.10458516537627746
4.36e-07 1.5085226910568164 0.10291387181931644
4.37e-07 1.5087770431570926 0.10124862913218657
4.38e-07 1.5090372055477446 0.09958996343364515
4.39e-07 1.509303262822018 0.09793839289817273
4.4e-07 1.5095753011369513 0.09629442722111195
4.41e-07 1.50985340854251 0.0946585671095456
4.42e-07 1.5101376753784408 0.09303130379902645
4.43e-07 1.5104281947524958 0.09141311859622087
4.44e-07 1.5107250631163747 0.08980448244748183
4.45e-07 1.51102838095888 0.08820585553331994
4.46e-07 1.511338253639444 0.08661768688869892
4.47e-07 1.5116547923893913 0.08504041404904016
4.48e-07 1.5119781155131422 0.0834744627217822
4.49e-07 1.5123083498270204 0.0819202464833047
4.5e-07 1.51264563237949 0.08037816650099225
4.51e-07 1.5129901125035203 0.0788486112801827
4.52e-07 1.513341954259322 0.07733195643571666
4.53e-07 1.513701339333959 0.07582856448777957
4.54e-07 1.5140684704732255 0.07433878468170625
4.55e-07 1.5144435755305656 0.07286295283140107
4.56e-07 1.5148269122276499 0.07140139118601321
4.57e-07 1.5152187737312253 0.06995440831949787
4.58e-07 1.5156194951608268 0.0685222990426912
4.59e-07 1.5160294611515448 0.06710534433753083
4.6e-07 1.5164491146048447 0.06570381131306237
